naam,functie,geslacht,geboortedatum,overlijdensdatum,doel,bestemming,van,tot_en_met,betaald_door
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,ALDE Party Council,"Sofia, Bulgarije",2018-04-27,2018-04-28,VVD
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Werkbezoek Londen Commissie Europese Zaken,"Londen, Verenigd Koninkrijk",2017-02-05,2017-02-06,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Werkbezoek Brexit-rapporteurs,"Londen, Verenigd Koninkrijk",2019-02-18,2019-02-18,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Benelux-Parlement Commissiewerkbezoek aan Alphen-Chaam en Baarle-Hertog,"Alphen-Chaam, Nederland en Baarle-Hertog, België",2016-06-24,2016-06-24,Benelux-parlement
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Commissiedag Benelux parlement,"Brussel, België",2018-05-18,2018-05-18,Benelux parlement
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Werkbezoek vaste commissie voor Europese Zaken,"Londen, Engeland",2016-03-20,2016-03-21,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Beneluxparlement commissievergadering,"Brussel, België",2019-04-05,2019-04-05,Beneluxparlement
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Raad van Europa,"Straatsburg, Frankrijk",2016-10-09,2016-10-11,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Beneluxparlement plenaire vergadering,"Luxemburg, Luxemburg",2019-06-14,2019-06-15,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Benelux-parlement,"Brussel, België",2017-04-21,2017-04-21,Benelux-parlement
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Zomer sessie Raad van Europa,"Straatsburg, Frankrijk",2016-06-19,2016-06-24,Raad van Europa
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Benelux-parlement,"Brussel, België",2016-06-17,2016-06-18,Benelux-parlement
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Benelux parlement,"Brussel, België",2016-11-25,2016-11-25,Benelux parlement
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,COSAC vergadering,"Sofia, Bulgarije",2018-06-17,2018-06-19,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Werkbezoek vaste commissie voor Defensie,"Brussel, België",2020-02-17,2020-02-17,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Werkbezoek vaste commissie voor Europese Zaken,"Londen, Verenigd Koninkrijk",2019-10-06,2019-10-07,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Werkbezoek Parlementaire Assemblee Raad van Europa,"Straatsburg, Frankrijk",2016-04-17,2016-04-19,Raad van Europa
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Raad van Europa commissievergadering,"Parijs, Frankrijk",2018-11-16,2018-11-16,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Verkiezingswaarneming Bosnië en Herzegovina,"Sarajevo & Srebrenica, Bosnië en Herzegovina",2018-10-05,2018-10-08,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Benelux-parlement,"Brussel, België",2017-01-20,2017-01-20,Benelux-parlement
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Werkbezoek VVD Internationaal,"Sarajevo, Bosnië Herzegovina",2017-10-21,2017-10-22,VVD Internationaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Werkbezoek vaste commissie voor Financiën,"Tokyo, Japan",2019-07-06,2019-07-16,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Bezoek aan Europees Parlement,"Brussel, België",2016-07-11,2016-07-12,Deels Europees Parlement en deels voor eigen rekening
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Hoorzitting Brexit Benelux parlement,"Brussel, België",2018-01-19,2018-01-19,Benelux parlement
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Benelux-parlement,"Brussel, België",2017-02-03,2017-02-03,Benelux-parlement
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,OVSE Winterbijeenkomst 2018,"Wenen, Oostenrijk",2018-02-22,2018-02-23,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Werkbezoek OVSE-PA,"Wenen, Oostenrijk",2017-11-09,2017-11-11,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,ALDE Party Council,"Berlijn, Duitsland",2019-02-09,2019-02-10,VVD Internationaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,ALDE Bijeenkomst 2016,"Vilnius, Litouwen",2016-06-03,2016-06-05,VVD International
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,ALDE Congres Warschau 2016,"Warschau, Polen",2016-12-01,2016-12-04,VVD Internationaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Werkbezoek vaste commissie voor Europese Zaken,Noorwegen,2016-10-16,2016-10-18,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Interparlementaire bijeenkomst in het kader van het Europees Semester,"Brussel, België",2016-09-28,2016-09-28,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Benelux parlement,"Brussel, België",2017-06-02,2017-06-02,Benelux parlement
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Interparlementaire bijeenkomst Witboek Toekomst EU,"Brussel, België",2017-10-11,2017-10-11,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Benelux-parlement,"Brussel, België",2016-05-27,2016-05-27,Benelux-parlement
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Benelux parlement,"Brussel, België",2016-09-30,2016-09-30,Benelux parlement
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Cosac vergadering,"Valletta, Malta",2017-05-28,2017-05-30,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Werkbezoek Contactgroep Frankrijk,"Brussel, België",2017-01-09,2017-01-12,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,"Joint Conference of the Baltic Assembly, Benelux Parliament, GUAM Parliamentary Assembly, Nordic Council and Visegrad Countries ""Together in Strengthening Our Common Future""","Riga, Letland",2017-06-08,2017-06-09,Benelux parlement
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Apeldoorn conference 2018,"Londen, Verenigd Koninkrijk",2018-07-06,2018-07-07,Hotel en heenvlucht van Amsterdam naar Londen voor eigen rekening. Vlucht van Londen naar Berlijn (OVSE bijeenkomst) betaald door Tweede Kamer der Staten-Generaal.
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Raad van Europa,"Berlijn, Duitsland",2019-11-14,2019-11-14,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Brussels Economic Forum,"Brussel, België",2017-06-01,2017-06-01,Voor eigen rekening
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Benelux parlement,"Brussel, België",2018-03-09,2018-03-09,Benelux parlement
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Commissiedag Benelux-parlement,"Brussel, België",2019-10-04,2019-10-04,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,Interparlementaire bijeenkomst over Balkan en uitbreiding,"Pristina, Kosovo",2017-02-19,2017-02-22,Tweede Kamer der Staten-Generaal
Anne Mulder (A.),Oud Kamerlid,man,1969-12-14,,COSAC vergadering,Slowakije,2016-11-13,2016-11-15,Tweede Kamer der Staten-Generaal
Songül Mutluer (S.),Tweede Kamerlid,vrouw,1979-12-11,,Bezoek in het kader van het functioneren van de noodhulpprogramma’s,Turkije en Syrië,2023-04-12,2023-04-14,Voor eigen rekening
Songül Mutluer (S.),Tweede Kamerlid,vrouw,1979-12-11,,Bezoeken van gevangenissen en onderzoek naar het Noorse systeem van reclassering,Noorwegen,2022-10-05,2022-10-09,Voor eigen rekening
Songül Mutluer (S.),Tweede Kamerlid,vrouw,1979-12-11,,Werkbezoek vaste commissie voor Justitie en Veiligheid,Verenigd Koninkrijk,2023-03-22,2023-03-25,Tweede Kamer der Staten-Generaal
Hilbrand Nawijn (H.P.A.),Oud Kamerlid,man,1948-08-08,,,(nog) geen opgave,,,
Helma Neppérus (H.),Oud Kamerlid,vrouw,1950-06-21,,Herdenking van bevrijding concentratiekamp.,"Dachau, Duitsland",2010-04-28,2010-04-30,VVD-fractie.
Frans de Nerée tot Babberich (F.J.F.M.),Oud Kamerlid,man,1943-12-03,,Kennismaking met de samenwerking.,Israël,2005-06-06,2005-06-10,Voor gedeelde rekening van de Israëlische ambassade en de CDA-fractie.
Frans de Nerée tot Babberich (F.J.F.M.),Oud Kamerlid,man,1943-12-03,,Werkbezoek vaste commissie voor Financiën.,"Washington D.C. en New York, Verenigde Staten",2008-04-27,2008-05-02,Tweede Kamer der Staten-Generaal.
Frans de Nerée tot Babberich (F.J.F.M.),Oud Kamerlid,man,1943-12-03,,Conferentie Parlementsvoorzitters.,"Tallin, Estland en Helsinki, Finland",2006-05-30,2006-06-01,Benelux Parlement.
Nicolaï (A),Oud Kamerlid,man,1960-02-22,2020-08-19,Bezoek aan de troepen in Uruzgan.,"Uruzgan, Afghanistan",2009-10-19,2009-10-23,Tweede Kamer der Staten-Generaal.
Nicolaï (A),Oud Kamerlid,man,1960-02-22,2020-08-19,Bezoek aan het Grote Merengebied.,"Kinshasa, Congo en Kigali, Ruanda",2010-01-03,2010-01-09,Tweede Kamer der Staten-Generaal.
Nicolaï (A),Oud Kamerlid,man,1960-02-22,2020-08-19,Bezoek aan ELDR Party Council Meeting,"Rome, Italië",2010-03-12,2010-03-14,VVD Internationaal Secretariaat
Nicolaï (A),Oud Kamerlid,man,1960-02-22,2020-08-19,Gastspreker.,Sint Maarten,2007-10-02,2007-10-04,The Daily herald.
Nicolaï (A),Oud Kamerlid,man,1960-02-22,2020-08-19,Bezoek aan de Algemene Vergadering van de Verenigde Naties.,"New York, Verenigde Staten",2009-10-25,2009-11-09,Ministerie van Buitenlandse Zaken.
Henk Nijboer (H.),Tweede Kamerlid,man,1983-03-31,,Werkbezoek vaste commissie voor Europese Zaken,Spanje en Portugal,2014-07-07,2014-07-11,Tweede Kamer der Staten-Generaal
Henk Nijboer (H.),Tweede Kamerlid,man,1983-03-31,,Seminar: Investing in the future: Progressive Public Spending,"Lissabon, Portugal",2018-06-29,2018-07-01,Op eigen kosten
Henk Nijboer (H.),Tweede Kamerlid,man,1983-03-31,,Progressive Europe Interparliamentary Conference,"Berlijn, Duitsland",2019-03-14,2019-03-14,Op eigen kosten
Henk Nijboer (H.),Tweede Kamerlid,man,1983-03-31,,Progressive EU interparliamentary conference,"Berlijn, Duitsland",2015-10-15,2015-10-16,Eigen kosten
Henk Nijboer (H.),Tweede Kamerlid,man,1983-03-31,,Commissie breed Welvaartsbegrip,"Parijs, Frankrijk",2016-01-15,2016-01-15,Tweede Kamer der Staten-Generaal
Henk Nijboer (H.),Tweede Kamerlid,man,1983-03-31,,Werkbezoek vaste commissie voor Binnenlandse Zaken,"Wenen, Oostenrijk",2022-09-07,2022-09-08,Tweede Kamer der Staten-Generaal
Henk Nijboer (H.),Tweede Kamerlid,man,1983-03-31,,vaste commissie voor Financiën,Verenigde Staten,2015-05-09,2015-05-18,Tweede Kamer der Staten-Generaal
Henk Nijboer (H.),Tweede Kamerlid,man,1983-03-31,,Werkbezoek vaste commissie voor Financiën,Japan,2019-07-06,2019-07-13,Tweede Kamer der Staten-Generaal
Henk Nijboer (H.),Tweede Kamerlid,man,1983-03-31,,Commissie breed Welvaartsbegrip,"Berlijn, Duitsland",2016-02-15,2016-02-15,Tweede Kamer der Staten-Generaal
Henk Nijboer (H.),Tweede Kamerlid,man,1983-03-31,,Internationale fiscale conferentie,Londen,2014-10-29,2014-10-30,Tweede Kamer der Staten-Generaal
Henk Nijboer (H.),Tweede Kamerlid,man,1983-03-31,,Workshop met o.a. topeconomen,"Brussel, België",2015-12-10,2015-12-10,Tweede Kamer der Staten-Generaal
Henk Nijboer (H.),Tweede Kamerlid,man,1983-03-31,,Werkbezoek aan het Europees Parlement,"Brussel, België",2012-10-07,2012-10-08,Tweede Kamer der Staten-Generaal
Henk Nijboer (H.),Tweede Kamerlid,man,1983-03-31,,Artikel 13 conferentie,"Rome, Italië",2014-09-28,2014-09-30,Tweede Kamer der Staten-Generaal
Henk Nijboer (H.),Tweede Kamerlid,man,1983-03-31,,Commissie breed Welvaartsbegrip,"Berlijn, Duitsland",2016-01-22,2016-01-22,Tweede Kamer der Staten-Generaal
Henk Nijboer (H.),Tweede Kamerlid,man,1983-03-31,,Artikel 13 conferentie,"Brussel, België",2016-02-16,2016-02-16,Tweede Kamer der Staten-Generaal
Annette Nijs (A.D.S.M.),Oud Kamerlid,vrouw,1961-12-16,,,(nog) geen opgave,,,
Michiel van Nispen (M.),Tweede Kamerlid,man,1982-10-14,,Werkbezoek met de vaste commissie voor Justitie en Veiligheid aan (diverse onderdelen van) de Raad van Europa,"Straatsburg, Frankrijk",2019-03-24,2019-03-25,Tweede Kamer der Staten-Generaal
Saskia Noorman-den Uyl (S.E.A),Oud Kamerlid,vrouw,1946-03-31,,,(nog) geen opgave,,,
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Werkbezoek vaste commissie voor Buitenlandse Zaken,Verenigde Staten,2019-04-28,2019-05-03,Tweede Kamer der Staten-Generaal
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Werkbezoek vaste commissie voor Europese Zaken,Balkan,2018-05-06,2018-05-09,Tweede Kamer der Staten-Generaal
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Werkbezoek,Ethiopië,2019-10-19,2019-10-26,GroenLinks-fractie
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Als voorzitter van de raad van toezicht van de Leprastichting verdiept in het programma van de Leprastichting,Indonesië,2018-07-07,2018-07-13,Leprastichting
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Verkiezingswaarnemer voor de OVSE,Verenigde Staten,2018-11-02,2018-11-07,Tweede Kamer der Staten-Generaal
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Oriënterend werkbezoek,China,2018-10-20,2018-10-25,GroenLinks-fractie
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Werkbezoek vaste commissie voor Europese Zaken in verband met de Brexit,"Londen, Engeland",2019-10-06,2019-10-07,Reis (trein) en verblijf betaald door de Tweede Kamer der Staten-Generaal
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Oriënterend werkbezoek,Israël en Palestijnse gebieden,2018-10-03,2018-10-05,GroenLinks-fractie
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Werkbezoek aan het Europees Parlement,"Brussel, België",2018-01-11,2018-01-12,Reis- en verblijfskosten betaald door de GroenLinksfractie Europa
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Bezoek aan de Veiligheidsraad met de vaste commissie voor Buitenlandse Zaken,"New York, Verenigde Staten",2018-02-25,2018-02-28,Tweede Kamer der Staten-Generaal
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Werkbezoek met o.a. vluchtelingenwerk Nederland,"Athene / Lesbos, Griekenland",2018-03-01,2018-03-03,Reis en accommodatie voor eigen rekening
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Werkbezoek vaste commissie voor Europese Zaken,Polen,2019-02-22,2019-02-23,Tweede Kamer der Staten-Generaal
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Werkbezoek vaste commissie voor Buitenlandse Zaken,"Berlijn, Duitsland",2019-11-28,2019-11-30,Tweede Kamer der Staten-Generaal
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Delegatielid vaste commissie voor Europese Zaken voor het bezoek van de Interparlementaire commissiebijeenkomst (ICM) van de AFCO-commissie in het Europees Parlement,"Brussel, België",2017-10-11,2017-10-11,Tweede Kamer der Staten-Generaal
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Werkbezoek vaste commissie voor Justitie en Veiligheid,"Rome/Lampedusa,  ‎Italië",2019-11-15,2019-11-17,Tweede Kamer der Staten-Generaal
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Werkbezoek vaste commissie voor Europese Zaken,"Brussel, België",2017-06-25,2017-06-26,Tweede Kamer der Staten-Generaal
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Bezoek aan liaison office van OVSE-PA.,"Wenen, Oostenrijk",2017-11-17,2017-11-18,Kosten van het OVSE budget.
Bram van Ojik (A.),Oud Kamerlid,man,1954-09-22,,Werkbezoek vaste commissie voor Buitenlandse Zaken,Iran,2017-10-19,2017-10-23,Tweede Kamer der Staten-Generaal
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Raad van Europa, commissie Justitie","Parijs, Frankrijk",2014-05-15,2014-05-16,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Bijwonen bijeenkomsten Plenair, Social and Legal Affairs, Human Rights, Social Health & Family Affairs","Straatsburg, Frankrijk",2009-01-26,2009-01-30,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Houden van een toespraak op het congres van de IPE.,"Wenen, Oostenrijk",2007-11-15,2007-11-15,IPE.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Europees semester en artikel 13 conferentie,"Brussel, België",2016-02-15,2016-02-17,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Werkbezoek commissie Europese Zaken,Turkije,2013-10-20,2013-10-25,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Raad van Europa, plenair","Straatsburg, Frankrijk",2014-06-22,2014-06-25,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Raad van Europa, plenair","Straatsburg, Frankrijk",2014-03-30,2014-04-03,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Presentatie voor de commissie Europese Zaken van het Deense parlement over transparantie,"Kopenhagen, Denemarken",2018-05-25,2018-05-25,Reiskosten betaald door het Deense parlement.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Raad van Europa, plenair","Straatsburg, Frankrijk",2015-04-19,2015-04-21,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Workshop met parlementariërs Nederland en Georgië.,"Gudauri, Georgié",2006-03-09,2006-03-13,East-West Parliamentary Practice Project.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Werkbezoek commissie Europese Zaken,Griekenland,2016-02-25,2016-02-28,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Bezoek als rapporteur voor de monitoring commissie van de parlementaire assemblee van de Raad van Europa,"Warschau, Polen",2023-03-12,2023-03-15,Raad van Europa
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Raad van Europa,"Straatsburg, Frankrijk",2015-09-27,2015-09-28,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Raad van Europa,"Straatsburg, Frankrijk",2015-11-18,2015-11-19,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Werkbezoek commissie Europese Zaken,"Brussel, België",2015-09-20,2015-09-21,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Fact finding mission als rapporteur voor de Raad van Europa. Gesprekken met regering, rechters, maatschappelijk middenveld, journalisten","Warschau, Polen",2019-09-04,2019-09-07,Parlementaire Assemblee van de Raad van Europa
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Raad van Europa.,"Straatsburg, Frankrijk",2008-04-14,2008-04-18,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Bezoek met gesprekken met het Bundeskriminal Amt en het ministerie van Binnenlandse Zaken in het kader van het rapport ""Daphne Caruana Galizia’s assassination and the rule of law in Malta and beyond: ensuring that the whole truth emerges""","Berlijn, Duitsland",2019-04-01,2019-04-01,Voor eigen rekening.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Raad van Europa, Legal affairs (in verband met rapport over Kosovo)","Venetië, Italië",2007-12-13,2007-12-13,Raad van Europa.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Raad van Europa, plenair","Straatsburg, Frankrijk",2014-09-28,2014-10-02,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Bezoek met gesprekken met o.a. minister-president Muscat, ministers, Hoge Colleges van Staat en maatschappelijk middenveld voor het rapport ""Daphne Caruana Galizia’s assassination and the rule of law in Malta and beyond: ensuring that the whole truth emerges""",Malta,2018-10-21,2018-10-23,Parlementaire Assemblee van de Raad van Europa.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Workshop met parlementariërs Nederland en Georgië.,"Batumi, Georgië",2006-07-05,2006-07-09,East-West Parliamentary Practice Project.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Raad van Europa.,"Straatsburg, Frankrijk",2008-01-21,2008-01-25,Raad van Europa.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Werkbezoek Contactgroep GB.,"Londen, Groot-Brittannië",2006-06-07,2006-06-09,Tweede kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Raad van Europa, plenair","Straatsburg, Frankrijk",2015-06-21,2015-06-23,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Raad van Europa,"Parijs, Frankrijk",2014-12-09,2014-12-10,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Werkbezoek Berlijn, commissie Europese Zaken","Berlijn, Duitsland",2014-10-09,2014-10-10,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Raad van Europa, commissie Justitie","Parijs, Frankrijk",2015-03-17,2015-03-18,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Houden van een lezing op een conferentie over zorg (en pensioenen).,"Nice, Frankrijk",2008-05-18,2008-05-19,Unisys.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Raad van Europa, plenair","Straatsburg, Frankrijk",2015-01-25,2015-01-29,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Raad van Europa, commissie Justitie","Parijs, Frankrijk",2015-12-07,2015-12-08,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Raad van Europa,"Straatsburg, Frankrijk",2016-01-24,2016-01-28,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Reis naar christelijke minderheden,Pakistan,2012-01-09,2012-01-14,Kerk in Nood.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Deelname side event bij de VN Mensenrechtenraad van o.a. article 19, ‘Justice for Khashoggi’","Genève, Zwitserland",2019-06-27,2019-06-27,Article 19.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Raad van Europa, plenair","Straatsburg, Frankrijk",2014-01-26,2014-01-29,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Werkbezoek commissie Europese Zaken,"Brussel, België",2015-02-03,2015-02-04,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Rapport Klokkenluiders,"Straatsburg, Frankrijk",2009-09-28,2009-09-30,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Gesprek met commissaris Vera Jourova
n.a.v. Raad van Europa rapport over aanslag op Daphne Caruana Galizia en Malta","Brussel, België",2019-11-04,2019-11-04,Voor eigen rekening
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Raad van Europa (Commissievergadering).,"Straatsburg, Frankrijk",2007-04-17,2007-04-18,Tweede kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Werkbezoek,Verenigde Staten,2015-05-18,2015-05-19,Tweede Kamer der Staten-Generaal.
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,"Als rapporteur voor de Raad van Europa over de rechtsstaat in Malta en de aanslag op Daphne Caruana Galizia ontmoetingen met de Minister-President, de ministers van financien, binnenlandse zaken, justitie, onderwijs, buitenlandse zaken en met een aantal staatsinstituties, journalisten en activisten.",Malta,2020-02-12,2020-02-14,Parlementaire Assemblee van de Raad van Europa
Pieter Omtzigt (P.H.),Tweede Kamerlid,man,1974-01-08,,Raad van Europa,"Straatsburg, Frankrijk",2014-12-07,2014-12-08,Raad van Europa.
Astrid Oosenbrug (R.F.A.),Oud Kamerlid,vrouw,1968-07-06,,Internet Governance Forum,Indonesië,2013-10-21,2013-10-26,Voor eigen rekening
Astrid Oosenbrug (R.F.A.),Oud Kamerlid,vrouw,1968-07-06,,"Werkbezoek vaste commissie voor Binnenlandse Zaken, ontwikkeling digitalisering in Estland",Estland,2016-10-20,2016-10-22,Tweede Kamer der Staten-Generaal (vaste commissie voor Binnenlandse Zaken)
Foort van Oosten (F.),Oud Kamerlid,man,1977-06-25,,Voorzitters COSAC,"Boekarest, Roemenië",2019-01-20,2019-01-21,Tweede Kamer der Staten-Generaal
Foort van Oosten (F.),Oud Kamerlid,man,1977-06-25,,Voorzitterschap van de contactgroep België,"Brussel, België",2018-12-07,2018-12-07,Tweede Kamer der Staten-Generaal
Foort van Oosten (F.),Oud Kamerlid,man,1977-06-25,,Werkbezoek vaste commissie Veiligheid en Justitie in het kader van Mensenhandel,Bulgarije en Roemenië,2014-05-06,2014-05-10,Tweede Kamer der Staten-Generaal
Foort van Oosten (F.),Oud Kamerlid,man,1977-06-25,,Werkbezoek aan COSAC uit hoofde van voorzitterschap van de vaste commissie voor Europese Zaken,"Wenen, Oostenrijk",2018-11-18,2018-11-19,Tweede Kamer der Staten-Generaal
Foort van Oosten (F.),Oud Kamerlid,man,1977-06-25,,Werkbezoek vaste commissie voor Europese Zaken,"Berlijn, Duitsland",2018-11-29,2018-11-30,Tweede Kamer der Staten-Generaal
